Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
1;0.00.44;0.00.52;0.01.27;0.01.31;0.01.47;0.02.17;0.02.31
2;0.01.50;0.01.57;0.02.32;0.02.34;0.02.54;0.03.24;0.03.32
3;0.02.58;0.03.07;0.03.42;0.03.44;0.04.05;0.04.35;0.04.54
4;0.04.08;0.04.15;0.04.50;0.04.58;0.05.12;0.05.42;0.06.01
5;0.05.14;0.05.23;0.05.58;0.06.05;0.06.20;0.06.50;0.07.03
6;0.06.25;0.06.29;0.07.04;0.07.04;0.07.20;0.07.50;0.08.06
7;0.07.22;0.07.32;0.08.07;0.08.12;0.08.39;0.09.09;0.09.21
8;0.10.33;0.10.42;0.11.17;0.11.20;0.11.39;0.12.09;0.12.20
9;0.11.43;0.11.53;0.12.28;0.12.28;0.12.49;0.13.19;0.13.32
10;0.12.54;0.13.04;0.13.39;0.13.41;0.13.58;0.14.28;0.14.38
11;0.14.01;0.14.06;0.14.41;0.14.42;0.14.54;0.15.24;0.15.36
12;0.14.57;0.15.05;0.15.40;0.15.41;0.15.55;0.16.25;0.16.33
13;0.15.58;0.16.06;0.16.41;0.16.41;0.16.59;0.17.29;0.17.41
14;0.17.00;0.17.08;0.17.43;0.17.44;0.18.01;0.18.31;0.18.43
15;0.18.04;0.18.10;0.18.45;0.18.45;0.19.07;0.19.37;0.19.50
16;0.19.10;0.19.17;0.19.52;0.19.52;0.20.12;0.20.42;0.20.52
17;0.20.14;0.20.20;0.20.55;0.20.55;0.21.15;0.21.45;0.21.55
18;0.21.19;0.21.25;0.22.00;0.22.06;0.22.22;0.22.52;0.23.02
19;0.22.24;0.22.31;0.23.06;0.23.06;0.23.19;0.23.49;0.23.59
20;0.23.21;0.23.28;0.24.03;0.24.03;0.24.21;0.24.51;0.25.02
21;0.24.23;0.24.30;0.25.05;0.25.05;0.25.22;0.25.52;0.25.59
22;0.25.23;0.25.28;0.26.03;0.26.03;0.26.26;0.26.56;0.27.03
23;0.26.29;0.26.37;0.27.12;0.27.13;0.27.32;0.28.02;0.28.12
24;0.27.35;0.27.41;0.28.16;0.28.16;0.28.35;0.29.05;0.29.13
25;0.28.38;0.28.45;0.29.20;0.29.20;0.29.40;0.30.10;0.30.20
26;0.29.42;0.29.51;0.30.26;0.30.30;0.30.51;0.31.21;0.31.31
27;0.30.54;0.31.02;0.31.37;0.31.45;0.32.05;0.32.35;0.32.44
28;0.32.07;0.32.16;0.32.51;0.32.51;0.33.13;0.33.43;0.33.53
29;0.33.18;0.33.26;0.34.01;0.34.03;0.34.23;0.34.53;0.35.04
30;0.34.26;0.34.36;0.35.11;0.35.11;0.35.32;0.36.02;0.36.12
31;0.35.35;0.35.44;0.36.19;0.36.21;0.36.38;0.37.08;0.37.18
32;0.36.42;0.36.51;0.37.26;0.37.26;0.37.50;0.38.20;0.38.37
33;0.38.11;0.38.18;0.38.53;0.38.54;0.39.11;0.39.41;0.39.52
34;0.39.15;0.39.22;0.39.57;0.39.57;0.40.16;0.40.46;0.40.57
35;0.00.24;0.00.30;0.01.05;0.01.05;0.01.26;0.01.56;0.02.05
36;0.01.27;0.01.34;0.02.09;0.02.10;0.02.23;0.02.53;0.03.04
37;0.02.30;0.02.38;0.03.13;0.03.15;0.03.31;0.04.01;0.04.07
38;0.03.32;0.03.38;0.04.13;0.04.16;0.04.38;0.05.08;0.05.16
39;0.04.40;0.04.46;0.05.21;0.05.26;0.05.43;0.06.13;0.06.26
40;0.05.45;0.05.53;0.06.28;0.06.30;0.06.45;0.07.15;0.07.25
41;0.06.47;0.06.52;0.07.27;0.07.29;0.07.48;0.08.18;0.08.36
42;0.07.49;0.07.57;0.08.32;0.08.49;0.09.05;0.09.35;0.09.48
43;0.09.08;0.09.14;0.09.49;0.09.51;0.10.06;0.10.36;0.10.50
44;0.10.11;0.10.18;0.10.53;0.11.00;0.11.19;0.11.49;0.12.10
45;0.11.21;0.11.27;0.12.02;0.12.11;0.12.27;0.12.57;0.13.06
46;0.12.28;0.12.34;0.13.09;0.13.09;0.13.30;0.14.00;0.14.08
47;0.13.31;0.13.36;0.14.11;0.14.13;0.14.28;0.14.58;0.15.09
