Units processed;Start;Stop
1;0.00.05;0.00.35
2;0.01.17;0.01.58
3;0.02.29;0.03.12
4;0.03.36;0.04.14
5;0.04.27;0.04.55
6;0.05.38;0.05.54
7;0.06.39;0.07.51
8;0.08.22;0.08.48
9;0.09.45;0.10.23
10;0.11.21;0.11.46
11;0.12.30;0.12.58
12;0.13.22;0.13.50
13;0.15.08;0.15.49
14;0.15.58;0.16.23
15;0.17.14;0.17.45
16;0.18.01;0.18.42
17;0.18.58;0.19.34
18;0.20.18;0.20.45
19;0.21.01;0.21.27
20;0.22.51;0.23.31
21;0.23.43;0.24.16
22;0.24.53;0.25.28
23;0.26.11;0.26.36
24;0.27.16;0.27.42
25;0.28.11;0.28.38
26;0.30.00;0.30.21
27;0.30.34;0.30.55
28;0.32.10;0.32.34
29;0.32.36;0.33.01
30;0.34.21;0.34.52
31;0.34.53;0.35.21
32;0.36.37;0.37.07
33;0.37.12;0.37.34
34;0.38.12;0.38.40
35;0.39.08;0.39.35
36;0.40.09;0.40.33
37;0.41.26;0.41.41
38;0.41.51;0.42.16
39;0.42.51;0.43.15
40;0.44.10;0.44.34
41;0.44.45;0.45.10
42;0.46.09;0.46.41
43;0.46.51;0.47.09
44;0.47.53;0.48.22
45;0.48.35;0.48.55
46;0.49.40;0.50.09
47;0.50.59;0.51.20
48;0.52.10;0.52.32
49;0.52.59;0.53.28
50;0.54.02;0.54.25
51;0.55.09;0.55.31
52;0.55.36;0.57.01
53;0.57.13;0.57.41
54;0.58.30;0.58.51
55;0.59.06;0.59.27
56;1.00.55;1.01.16
57;1.01.16;1.01.44
58;1.02.30;1.02.52
59;1.03.42;1.04.15
60;1.04.32;1.05.00
61;1.05.30;1.05.49
62;1.06.34;1.06.56
63;1.07.43;1.08.04
64;1.08.23;1.08.49
65;1.09.53;1.10.14
66;1.10.25;1.10.46
67;1.11.28;1.11.49
68;1.12.49;1.13.11
69;1.13.40;1.13.57
70;1.14.18;1.14.39
71;1.15.23;1.16.09
72;1.16.11;1.16.37
73;1.18.36;1.19.05
74;0.00.59;0.01.25
75;0.02.34;0.02.56
76;0.03.43;0.04.05
77;0.05.15;0.05.40
78;0.07.38;0.08.00
79;0.08.57;0.09.17
80;0.09.50;0.10.11
81;0.11.01;0.11.21
82;0.12.08;0.12.33
83;0.13.18;0.13.37
84;0.14.20;0.14.37
85;0.15.05;0.15.26
86;0.16.18;0.16.40
87;0.18.26;0.18.48
88;0.19.17;0.19.36
89;0.20.57;0.21.23
90;0.01.06;0.01.40
91;0.01.54;0.02.22
92;0.02.49;0.03.15
93;0.03.48;0.04.25
94;0.04.45;0.05.15
95;0.05.33;0.06.05
96;0.06.47;0.07.20
97;0.07.41;0.08.05
98;0.08.49;0.09.11
99;0.09.45;0.10.10
100;0.10.49;0.11.12
101;0.11.39;0.12.13
102;0.13.12;0.13.33
103;0.13.57;0.14.49
104;0.15.04;0.15.49
105;0.15.53;0.16.39
106;0.16.42;0.17.13
107;0.17.40;0.18.08
108;0.19.00;0.19.49
109;0.23.17;0.24.14
110;0.24.16;0.24.45
111;0.25.02;0.25.28
112;0.25.42;0.26.02
113;0.27.24;0.27.41
114;0.28.03;0.28.26
115;0.30.12;0.30.33
116;0.31.53;0.32.17
117;0.32.33;0.33.59
118;0.34.27;0.34.49
119;0.35.58;0.36.27
120;0.36.59;0.37.21
121;0.38.42;0.39.24
122;0.39.51;0.40.29
123;0.41.02;0.41.57
124;0.42.17;0.42.37
125;0.43.18;0.43.37
126;0.44.51;0.45.16
127;0.45.59;0.46.20
128;0.47.16;0.47.42
129;0.48.23;0.48.50
130;0.49.32;0.50.00
131;0.50.35;0.51.07
132;0.53.46;0.54.15
133;0.55.07;0.56.06
134;0.57.00;0.57.23
135;0.57.51;0.58.20
136;0.58.49;0.59.27
137;1.00.37;1.00.58
138;1.01.21;1.01.46
139;1.02.18;1.02.45
140;1.03.07;1.03.31
141;1.06.20;1.07.01
142;1.07.39;1.08.02
143;1.09.14;1.09.35
144;1.10.20;1.10.50
145;1.11.32;1.11.51
146;1.12.27;1.12.53
147;1.13.27;1.13.55
148;1.14.41;1.15.07
149;1.16.13;1.16.33
150;1.17.37;1.18.00
151;1.18.48;1.19.14
152;1.19.37;1.19.57
153;1.21.33;1.21.57
154;1.22.45;1.23.14
155;1.23.25;1.23.48
156;1.25.09;1.25.38
157;1.27.06;1.27.33
158;1.27.36;1.28.07
159;1.29.01;1.29.22
160;1.30.00;1.30.27
161;1.30.37;1.31.50
162;1.33.00;1.33.20
163;1.34.25;1.34.47
164;1.35.43;1.36.05
165;1.37.21;1.37.41
166;1.38.06;1.38.34
167;1.39.06;1.39.26
168;1.40.13;1.40.32
169;0.01.13;0.02.33
170;0.02.35;0.04.23
171;0.04.26;0.05.25
172;0.05.26;0.06.15
173;0.06.21;0.07.17
174;0.07.19;0.08.26
175;0.08.30;0.09.39
176;0.09.44;0.10.34
177;0.11.14;0.12.28
178;0.12.31;0.13.44
179;0.13.45;0.14.56
180;0.15.08;0.16.11
181;0.16.13;0.17.28
182;0.18.20;0.19.33
183;0.19.35;0.20.28
184;0.21.44;0.22.46
185;0.22.50;0.24.15
186;0.24.17;0.25.26
187;0.25.34;0.26.30
188;0.26.32;0.27.34
189;0.27.37;0.28.54
190;0.29.02;0.30.13
191;0.30.56;0.32.40
192;0.33.55;0.35.00
